Scenario,Mode,Atm Model,Water Column,Ozone Column,CO2,CO,CH4,GT,GA,AM,V,SA,SZ,SR1,SR2,Res 1,Res 2,,Mission Elapsed Seconds,Sun Zenith (deg),Sensor Altitude (km)
0,Both,Mid-Latitude Winter,1059.7,0.37681,419.05,0.1575,1.879,272.15,0.076,Urban,23,499.7106795,142.166946,1.6,1.7,0.001,0.0087,,58825.16425,124.5510803,499.6721499
1,Both,US Standard 1976,1762.3,0.34356,419.05,0.1575,1.879,286.82,0.074,Urban,23,499.7106795,142.166946,1.6,1.7,0.001,0.0087,,58826.89227,125.4933164,499.6737687
2,Both,Mid-Latitude Summer,3635.9,0.33176,419.05,0.1575,1.879,294.48,0.084,Urban,23,499.7106795,142.166946,1.6,1.7,0.001,0.0087,,58828.62029,126.4371184,499.6753975
3,Both,US Standard 1976,1762.3,0.34356,419.05,0.1575,1.879,278.82,0.09,Urban,23,499.7106795,142.166946,1.6,1.7,0.001,0.0087,,58830.3483,127.3918661,499.6770363
,,,,,,,,,,,,,,,,,,,58832.07632,128.356497,499.6786849
,,,,,,,,,,,,,,,,,,,58833.80434,129.3423971,499.6803433
,,,,,,,,,,,,,,,,,,,58835.53236,130.3235538,499.6820115
,,,,,,,,,,,,,,,,,,,58837.26037,131.3105178,499.6836893
,,,,,,,,,,,,,,,,,,,58838.98839,132.3159032,499.6853766
,,,,,,,,,,,,,,,,,,,58840.71641,133.3098339,499.6870735
,,,,,,,,,,,,,,,,,,,58842.44442,134.30395,499.6887798
,,,,,,,,,,,,,,,,,,,58844.17244,135.2959954,499.6904955
,,,,,,,,,,,,,,,,,,,58845.90046,136.3005929,499.6922205
,,,,,,,,,,,,,,,,,,,58847.62848,137.2817292,499.6939546
,,,,,,,,,,,,,,,,,,,58849.35649,138.252903,499.6956979
,,,,,,,,,,,,,,,,,,,58851.08451,139.2111,499.6974503
,,,,,,,,,,,,,,,,,,,58852.81253,140.1734696,499.6992117
,,,,,,,,,,,,,,,,,,,58854.54055,141.096871,499.7009819
,,,,,,,,,,,,,,,,,,,58856.26856,141.9972862,499.702761
,,,,,,,,,,,,,,,,,,,58857.99658,142.8941592,499.7045489
,,,,,,,,,,,,,,,,,,,58859.7246,143.7386288,499.7063455
,,,,,,,,,,,,,,,,,,,58861.45261,144.5490744,499.7081507
,,,,,,,,,,,,,,,,,,,58863.18063,145.3217479,499.7099645
,,,,,,,,,,,,,,,,,,,58864.90865,146.0797378,499.7117867
,,,,,,,,,,,,,,,,,,,58866.63667,146.7667948,499.7136174
,,,,,,,,,,,,,,,,,,,58868.36468,147.405358,499.7154563
,,,,,,,,,,,,,,,,,,,58870.0927,147.9922547,499.7173036
,,,,,,,,,,,,,,,,,,,58871.82072,148.5548159,499.719159
,,,,,,,,,,,,,,,,,,,58873.54874,149.03093,499.7210225
,,,,,,,,,,,,,,,,,,,58875.27675,149.4479844,499.7228941
,,,,,,,,,,,,,,,,,,,58877.00477,149.8044802,499.7247737
,,,,,,,,,,,,,,,,,,,58878.73279,150.1320946,499.7266611
,,,,,,,,,,,,,,,,,,,58880.4608,150.3656545,499.7285563
,,,,,,,,,,,,,,,,,,,58882.18882,150.5375594,499.7304593
,,,,,,,,,,,,,,,,,,,58883.91684,150.6821551,499.73237
,,,,,,,,,,,,,,,,,,,58885.64486,150.7340185,499.7342883
,,,,,,,,,,,,,,,,,,,58887.37287,150.7284173,499.7362141
,,,,,,,,,,,,,,,,,,,58889.10089,150.6678013,499.7381473
,,,,,,,,,,,,,,,,,,,58890.82891,150.5882557,499.740088
,,,,,,,,,,,,,,,,,,,58892.55693,150.4261663,499.7420359
,,,,,,,,,,,,,,,,,,,58894.28494,150.2183726,499.7439911
,,,,,,,,,,,,,,,,,,,58896.01296,149.9684231,499.7459534
,,,,,,,,,,,,,,,,,,,58897.74098,149.7116376,499.7479228
,,,,,,,,,,,,,,,,,,,58899.46899,149.3876995,499.7498992
,,,,,,,,,,,,,,,,,,,58901.19701,149.0323688,499.7518826
,,,,,,,,,,,,,,,,,,Average Values:,,142.166946,499.7106795
